track_id,title,artist,actor,energy,danceability,valence,image_url
37,Make Way For The King,Sai Abhyankkar,Allu Arjun,0.87,0.57,0.43,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/c9/c2/7b/c9c27be9-0a5f-94bc-5e82-10db80a39895/820200990426.jpg/400x400bb.jpg
38,23 Theme,Anirudh,Allu Arjun,0.75,0.73,0.53,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/c4/f9/ae/c4f9aed1-1e09-eca5-d4cb-3f43f9db4002/8903431190284_cover.jpg/400x400bb.jpg
39,Dheera Dheera KGF,Ravi Basrur,Yash,0.89,0.58,0.27,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/55/dd/f2/55ddf2fd-a660-98ee-6d25-b9fb2086d5e5/8905936011347.jpg/400x400bb.jpg
40,Sulthana KGF,Ravi Basrur,Yash,0.94,0.62,0.48,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/d8/42/85/d84285ff-adb1-9be0-3934-07c71cfda5e8/8903431872128_cover.jpg/400x400bb.jpg
41,Toofan KGF,Ravi Basrur,Yash,0.78,0.68,0.28,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/66/88/7c/66887cd8-f090-09ba-28bf-2a1508963dc5/8903431872111_cover.jpg/400x400bb.jpg
42,Agilam Nee,Ravi Basrur,Yash,0.55,0.42,0.24,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/66/88/7c/66887cd8-f090-09ba-28bf-2a1508963dc5/8903431872111_cover.jpg/400x400bb.jpg
43,Mehbooba KGF,Ravi Basrur,Yash,0.51,0.31,0.28,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/66/88/7c/66887cd8-f090-09ba-28bf-2a1508963dc5/8903431872111_cover.jpg/400x400bb.jpg
44,Naatu Naatu,MM Keeravani,JR NTR|Ram Charan,0.99,0.4,0.7,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/dd/39/14/dd3914e5-a2f3-b355-51f3-9a1f0e3ca246/8903431853592_cover.jpg/400x400bb.jpg
45,Etthara Jenda,MM Keeravani,JR NTR|Ram Charan,0.95,0.51,0.79,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/91/85/29/918529f8-5187-19c7-ac4f-983a9c7c5b78/8903431821683_cover.jpg/592x592bb.webp
46,Dosti,MM Keeravani,JR NTR|Ram Charan,0.65,0.68,0.53,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/91/85/29/918529f8-5187-19c7-ac4f-983a9c7c5b78/8903431821683_cover.jpg/592x592bb.webp
47,Natpu,MM Keeravani,JR NTR|Ram Charan,0.65,0.68,0.53,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/96/17/48/9617487d-1d7b-3290-91b7-5e848e68bae8/8903431821782_cover.jpg/400x400bb.jpg
48,Komuram Bheemudo,MM Keeravani,JR NTR|Ram Charan,0.52,0.66,0.52,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/91/85/29/918529f8-5187-19c7-ac4f-983a9c7c5b78/8903431821683_cover.jpg/592x592bb.webp
49,Buttabomma,Thaman,Allu Arjun,0.64,0.67,0.89,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/19/58/9e/19589e6d-bec0-b613-326c-dc7b72cb8f64/cover.jpg/592x592bb.webp
50,Whistle Podu,Vijay,Vijay,0.88,0.65,0.54,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/ef/97/f8/ef97f8b7-6425-aae1-d3d5-d68aa5cf57ac/8903431991829_cover.jpg/400x400bb.jpg
51,Chinna Chinna Kangal,Vijay,Vijay,0.71,0.57,0.31,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/ef/97/f8/ef97f8b7-6425-aae1-d3d5-d68aa5cf57ac/8903431991829_cover.jpg/400x400bb.jpg
52,Matta,Yuvan,Vijay,0.94,0.7,0.7,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/42/f4/e9/42f4e9cd-e462-d51b-d044-d1fc19476844/8903431014672_cover.jpg/400x400bb.jpg
53,Srivalli,Devi Sri Prasad,Allu Arjun,0.6,0.79,0.74,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/6e/ea/b3/6eeab3fe-1ca4-1142-fe08-1b71ae8c8a63/cover.jpg/400x400bb.jpg
54,Saami Saami,Devi Sri Prasad,Allu Arjun,0.77,0.81,0.87,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/a7/53/c2/a753c2ae-f863-6b20-1242-58172a4815c2/cover.jpg/400x400bb.jpg
55,Sosseki,Devi Sri Prasad,Allu Arjun,0.68,0.74,0.83,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/ac/d7/02/acd70261-cfa2-fafc-ad43-5cbb962715ce/8903431993366_cover.jpg/360x360bb.webp
56,Aasa Kooda,Sai Abhyankkar,Sai Abhyankkar,0.54,0.68,0.53,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/39/42/ba/3942ba45-40bd-5d0a-d7ad-0595f1336f3f/cover.jpg/400x400bb.jpg
